category,title,publishedAt,excerpt,body
berita,Kerja Bakti Membersihkan Saluran Air,2026-07-12,Warga bergotong royong membersihkan saluran air menjelang musim hujan.,"Puluhan warga Kelurahan Sidoharjo mengikuti kegiatan kerja bakti membersihkan saluran air di sepanjang jalan utama pada Minggu pagi.|Kegiatan ini bertujuan mencegah banjir dan menjaga kebersihan lingkungan menjelang musim penghujan."
berita,Posyandu Balita Rutin Bulan Ini,2026-07-05,Kegiatan posyandu balita kembali digelar dengan pemeriksaan gizi gratis.,"Posyandu balita rutin bulanan kembali digelar di Balai Pertemuan Warga dengan layanan penimbangan dan pemeriksaan gizi.|Para kader kesehatan juga memberikan penyuluhan mengenai pola makan sehat bagi balita."
berita,Musyawarah Rencana Pembangunan Kelurahan,2026-06-20,Warga dan perangkat kelurahan membahas prioritas pembangunan tahun depan.,"Musyawarah rencana pembangunan (musrenbang) tingkat kelurahan berlangsung dengan diikuti perwakilan warga dari setiap RW.|Beberapa usulan prioritas meliputi perbaikan jalan lingkungan dan penambahan lampu penerangan jalan."
berita,Pembagian Bantuan Sosial untuk Warga,2026-05-28,Bantuan sosial disalurkan kepada warga yang membutuhkan.,"Pemerintah kelurahan menyalurkan bantuan sosial berupa sembako kepada warga kurang mampu di wilayah Sidoharjo.|Penyaluran dilakukan secara tertib dengan mendahulukan lansia dan penyandang disabilitas."
berita,Pelatihan UMKM Digital bagi Pelaku Usaha,2026-04-15,Pelaku UMKM dilatih memasarkan produk melalui media sosial.,"Sebanyak 30 pelaku UMKM mengikuti pelatihan pemasaran digital yang diselenggarakan bekerja sama dengan dinas terkait.|Peserta belajar membuat foto produk yang menarik dan memanfaatkan media sosial untuk menjangkau pembeli."
berita,Vaksinasi dan Pemeriksaan Kesehatan Gratis,2026-03-08,Layanan kesehatan gratis digelar untuk seluruh warga.,"Puskesmas Sidoharjo mengadakan layanan vaksinasi dan pemeriksaan kesehatan gratis bagi warga di balai kelurahan.|Antusiasme warga cukup tinggi, terutama untuk pemeriksaan tekanan darah dan gula darah."
berita,Gotong Royong Perbaikan Jembatan Desa,2026-07-18,Warga bahu-membahu memperbaiki jembatan penghubung antar-RW.,"Warga Kelurahan Sidoharjo bergotong royong memperbaiki jembatan penghubung yang menghubungkan dua wilayah RW.|Perbaikan dilakukan secara swadaya dengan sebagian bahan material disumbang oleh warga setempat."
berita,Peringatan Hari Kartini di Kelurahan,2026-07-10,Ibu-ibu PKK menggelar berbagai lomba dalam rangka Hari Kartini.,"Dalam rangka memperingati Hari Kartini, ibu-ibu PKK Kelurahan Sidoharjo menggelar lomba memasak dan berbusana kebaya.|Kegiatan ini bertujuan menumbuhkan semangat emansipasi dan kebersamaan antar warga."
berita,Pembentukan Pengurus Karang Taruna Baru,2026-06-30,Pemuda kelurahan membentuk kepengurusan karang taruna periode baru.,"Para pemuda Kelurahan Sidoharjo mengadakan musyawarah untuk membentuk kepengurusan Karang Taruna periode baru.|Pengurus terpilih diharapkan dapat menghidupkan kembali kegiatan kepemudaan di lingkungan kelurahan."
berita,Sosialisasi Pencegahan Demam Berdarah,2026-06-05,Warga diajak melakukan gerakan 3M untuk mencegah demam berdarah.,"Petugas kesehatan mengadakan sosialisasi pencegahan demam berdarah dengue kepada warga di balai kelurahan.|Warga diimbau rutin melakukan gerakan menguras, menutup, dan mengubur untuk memberantas sarang nyamuk."
